Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C163,100n,C_0402_1005Metric,199.02,-113.055,-90.0,top
C164,100n,C_0402_1005Metric,200.02,-113.055,-90.0,top
C165,100n,C_0402_1005Metric,196.02,-82.23,90.0,top
C166,100n,C_0402_1005Metric,192.32,-82.23,90.0,top
C167,100n,C_0402_1005Metric,207.42,-121.38,-90.0,top
C168,100n,C_0402_1005Metric,197.295,-121.405,-90.0,top
C169,100n,C_0402_1005Metric,212.22,-82.205,90.0,top
C170,100n,C_0402_1005Metric,208.52,-82.205,90.0,top
C171,100n,C_0402_1005Metric,206.42,-121.38,-90.0,top
C172,100n,C_0402_1005Metric,196.295,-121.405,-90.0,top
C173,100n,C_0402_1005Metric,204.02,-82.205,90.0,top
C174,100n,C_0402_1005Metric,200.32,-82.205,90.0,top
C175,1u,C_0402_1005Metric,169.83,-107.59,180.0,top
C176,100n,C_0402_1005Metric,175.18,-112.39,-90.0,top
C177,100n,C_0402_1005Metric,181.73,-112.39,-90.0,top
C178,4.7u,C_0402_1005Metric,169.83,-92.09,180.0,top
C179,1u,C_0402_1005Metric,169.83,-105.59,180.0,top
C180,100n,C_0402_1005Metric,186.73,-112.39,-90.0,top
C181,100n,C_0402_1005Metric,192.03,-112.39,-90.0,top
C182,100n,C_0402_1005Metric,196.11,-97.09,0.0,top
C183,100n,C_0402_1005Metric,196.11,-102.49,0.0,top
C184,100n,C_0402_1005Metric,185.73,-86.21,90.0,top
C185,2.2u,C_0402_1005Metric,191.03,-112.39,-90.0,top
C186,2.2u,C_0402_1005Metric,196.11,-91.59,0.0,top
C187,100n,C_0402_1005Metric,180.63,-86.21,90.0,top
C188,100n,C_0402_1005Metric,174.13,-86.21,90.0,top
C189,100n,C_0402_1005Metric,169.83,-93.09,180.0,top
C190,100n,C_0402_1005Metric,169.83,-98.49,180.0,top
C191,100n,C_0402_1005Metric,169.83,-104.59,180.0,top
C192,100n,C_0402_1005Metric,169.83,-106.59,180.0,top
C193,100n,C_0402_1005Metric,196.11,-90.59,0.0,top
C194,100n,C_0402_1005Metric,152.79,-96.1,180.0,top
C195,100n,C_0402_1005Metric,145.69,-93.6,-90.0,top
C196,100n,C_0402_1005Metric,154.517964,-120.608407,0.0,top
C197,100n,C_0402_1005Metric,156.1575,-93.88,-90.0,top
C198,100n,C_0402_1005Metric,167.5575,-91.43,180.0,top
C199,100n,C_0402_1005Metric,154.53,-112.08,0.0,top
C200,100n,C_0402_1005Metric,126.4775,-71.2925,0.0,top
C201,100n,C_0402_1005Metric,149.3603,-102.8504,180.0,top
C202,100p,C_0402_1005Metric,149.3603,-104.8824,180.0,top
C203,100n,C_0402_1005Metric,158.7575,-100.83,-90.0,top
C204,100n,C_0402_1005Metric,159.7575,-100.83,-90.0,top
C205,100n,C_0402_1005Metric,141.827249,-82.33,90.0,top
C206,100n,C_0402_1005Metric,138.127249,-82.33,90.0,top
C207,100n,C_0402_1005Metric,144.73,-115.98,-90.0,top
C208,100n,C_0402_1005Metric,158.127249,-82.33,90.0,top
C209,100n,C_0402_1005Metric,143.73,-115.98,-90.0,top
C210,100n,C_0402_1005Metric,149.877249,-82.305,90.0,top
C211,1u,C_0402_1005Metric,115.83,-107.59,180.0,top
C212,100n,C_0402_1005Metric,121.18,-112.39,-90.0,top
C213,100n,C_0402_1005Metric,127.73,-112.39,-90.0,top
C214,4.7u,C_0402_1005Metric,115.83,-92.09,180.0,top
C215,1u,C_0402_1005Metric,115.83,-105.59,180.0,top
C216,100n,C_0402_1005Metric,132.73,-112.39,-90.0,top
C217,100n,C_0402_1005Metric,138.03,-112.39,-90.0,top
C218,100n,C_0402_1005Metric,142.11,-97.09,0.0,top
C219,100n,C_0402_1005Metric,142.11,-102.49,0.0,top
C220,100n,C_0402_1005Metric,131.73,-86.21,90.0,top
C221,2.2u,C_0402_1005Metric,137.03,-112.39,-90.0,top
C222,2.2u,C_0402_1005Metric,142.11,-91.59,0.0,top
C223,100n,C_0402_1005Metric,126.63,-86.21,90.0,top
C224,100n,C_0402_1005Metric,120.13,-86.21,90.0,top
C225,100n,C_0402_1005Metric,115.83,-93.09,180.0,top
C226,100n,C_0402_1005Metric,115.83,-98.49,180.0,top
C227,100n,C_0402_1005Metric,115.83,-104.59,180.0,top
C228,100n,C_0402_1005Metric,115.83,-106.59,180.0,top
C229,100n,C_0402_1005Metric,142.11,-90.59,0.0,top
C230,100n,C_0402_1005Metric,120.077364,-116.5648,0.0,top
C231,1u,C_0402_1005Metric,106.245,-56.58,-90.0,top
C232,1u,C_0402_1005Metric,106.245,-58.58,90.0,top
C233,100n,C_0402_1005Metric,103.495,-53.28,180.0,top
C234,100n,C_0402_1005Metric,199.8125,-152.75,90.0,top
C235,100n,C_0402_1005Metric,205.4125,-152.75,90.0,top
C236,100n,C_0402_1005Metric,199.8125,-155.85,90.0,top
C237,100n,C_0402_1005Metric,205.4125,-155.85,90.0,top
D1,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,124.92,-46.58,0.0,top
D2,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,124.945,-67.6675,0.0,top
D3,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,204.345,-43.23,-90.0,top
D4,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,206.845,-43.23,-90.0,top
D5,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,209.345,-43.23,-90.0,top
D6,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,211.845,-43.23,-90.0,top
D7,1N5819,D_SOD-323,158.631564,-131.3356,0.0,top
D8,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,163.331564,-131.79435,-90.0,top
D9,1N5819,D_SOD-323,115.949749,-132.2856,0.0,top
D10,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,120.649749,-132.74435,-90.0,top
D11,1N5819,D_SOD-323,169.72,-77.68,0.0,top
D12,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,172.6025,-114.43,0.0,top
D13,1N5819,D_SOD-323,115.9575,-77.53,0.0,top
D14,TZ-P2-0603GTCS1-0.6T,LED_0603_1608Metric,118.63,-114.48,0.0,top
J3,Conn_01x06_Pin,PinHeader_1x06_P1.27mm_Vertical_SMD_Pin1Right,156.731564,-136.7706,0.0,top
J4,Conn_01x06_Pin,PinHeader_1x06_P1.27mm_Vertical_SMD_Pin1Right,114.049749,-137.7206,0.0,top
J5,10118194-0001LF,AMPHENOL_10118194-0001LF,79.47,-131.93,-90.0,top
J6,Conn_01x06_Pin,PinHeader_1x06_P1.27mm_Vertical_SMD_Pin1Right,167.82,-83.175,0.0,top
J7,10118194-0001LF,AMPHENOL_10118194-0001LF,79.47,-143.08,-90.0,top
J8,Conn_01x06_Pin,PinHeader_1x06_P1.27mm_Vertical_SMD_Pin1Right,114.0575,-83.025,0.0,top
J9,AMPHENOL_62684-401100ALF,AMPHENOL_62684-401100ALF,216.2575,-138.93,90.0,top
J10,1054301108,MOLEX_1054301108,212.645,-58.455,90.0,top
L1,SRP1038A-4R7M,L_Vishay_IHLP-4040,115.095,-57.58,-90.0,top
L2,SPM5020T-4R7M-LR,L_Vishay_IHLP-2020,136.5215,-52.23,0.0,top
L3,SPM5020T-4R7M-LR,L_Vishay_IHLP-2020,136.495,-61.53,0.0,top
L4,SRP1038A-4R7M,L_Vishay_IHLP-4040,158.395,-42.13,0.0,top
L5,SRP1038A-4R7M,L_Vishay_IHLP-4040,158.345,-60.33,0.0,top
L6,SRP1038A-4R7M,L_Vishay_IHLP-4040,189.145,-42.08,0.0,top
L7,SRP1038A-4R7M,L_Vishay_IHLP-4040,189.145,-60.33,0.0,top
Q1,RE1C002UNTCL,SOT-416,121.02,-46.08,0.0,top
Q2,RE1C002UNTCL,SOT-416,121.045,-67.1675,0.0,top
Q3,RE1C002UNTCL,SOT-416,204.895,-40.13,180.0,top
Q4,RE1C002UNTCL,SOT-416,207.395,-40.13,180.0,top
Q5,RE1C002UNTCL,SOT-416,209.895,-40.13,180.0,top
Q6,RE1C002UNTCL,SOT-416,212.395,-40.13,180.0,top
R1,200R,R_0402_1005Metric,127.42,-47.78,90.0,top
R2,10K,R_0402_1005Metric,122.62,-43.08,90.0,top
R3,20K,R_0402_1005Metric,121.62,-41.07,90.0,top
R4,5m,R_1206_3216Metric,138.345,-41.48,0.0,top
R5,0R,R_0402_1005Metric,110.695,-50.28,180.0,top
R6,0R,R_0402_1005Metric,110.645,-64.88,180.0,top
R7,1R,R_0402_1005Metric,104.095,-63.38,90.0,top
R9,5m,R_1206_3216Metric,103.495,-49.58,0.0,top
R10,5m,R_1206_3216Metric,103.495,-65.58,0.0,top
R11,1R,R_0402_1005Metric,102.895,-63.38,90.0,top
R13,200R,R_0402_1005Metric,127.445,-68.8675,90.0,top
R14,10K,R_0402_1005Metric,98.745,-56.28,-90.0,top
R15,10K,R_0402_1005Metric,122.645,-64.1675,90.0,top
R16,10K,R_0402_1005Metric,98.745,-58.28,-90.0,top
R17,10K,R_0402_1005Metric,98.745,-60.27,-90.0,top
R18,20K,R_0402_1005Metric,121.645,-62.1575,90.0,top
R19,100K,R_0402_1005Metric,122.155,-48.42,180.0,top
R20,5.6K,R_0402_1005Metric,122.155,-49.48,0.0,top
R21,100K,R_0402_1005Metric,122.135,-53.38,180.0,top
R22,5.6K,R_0402_1005Metric,122.135,-54.42,0.0,top
R23,27K,R_0402_1005Metric,125.845,-50.68,180.0,top
R24,0R,R_0402_1005Metric,154.495,-48.13,0.0,top
R25,0R,R_0402_1005Metric,162.295,-48.13,180.0,top
R26,47K,R_0402_1005Metric,205.595,-42.28,90.0,top
R27,33R,R_0402_1005Metric,205.595,-44.18,-90.0,top
R28,200K,R_0402_1005Metric,149.595,-40.83,180.0,top
R29,15K,R_0402_1005Metric,165.795,-52.12,-90.0,top
R30,22K,R_0402_1005Metric,166.895,-42.53,180.0,top
R31,5m,R_1206_3216Metric,171.295,-37.8675,90.0,top
R32,8.2K,R_0402_1005Metric,149.595,-41.83,180.0,top
R33,200K,R_0402_1005Metric,163.795,-52.13,90.0,top
R34,330K,R_0402_1005Metric,164.795,-52.12,90.0,top
R35,1.5K,R_0402_1005Metric,166.895,-41.53,180.0,top
R36,27K,R_0402_1005Metric,149.595,-42.83,180.0,top
R37,15K,R_0402_1005Metric,149.595,-43.83,0.0,top
R38,12K,R_0402_1005Metric,166.895,-40.53,0.0,top
R39,150K,R_0402_1005Metric,162.795,-52.13,90.0,top
R40,22K,R_0402_1005Metric,153.995,-52.13,90.0,top
R41,1K,R_0402_1005Metric,143.095,-42.83,180.0,top
R42,0R,R_0402_1005Metric,154.445,-66.33,0.0,top
R43,0R,R_0402_1005Metric,162.245,-66.33,180.0,top
R44,47K,R_0402_1005Metric,208.095,-42.28,90.0,top
R45,33R,R_0402_1005Metric,208.095,-44.18,-90.0,top
R46,200K,R_0402_1005Metric,149.545,-59.03,180.0,top
R47,100K,R_0402_1005Metric,165.745,-70.32,-90.0,top
R48,51K,R_0402_1005Metric,166.845,-60.73,180.0,top
R49,5m,R_1206_3216Metric,171.245,-56.0675,-90.0,top
R50,8.2K,R_0402_1005Metric,149.545,-60.03,180.0,top
R51,200K,R_0402_1005Metric,163.745,-70.33,90.0,top
R52,200K,R_0402_1005Metric,164.745,-70.32,90.0,top
R53,2.2K,R_0402_1005Metric,166.845,-59.73,180.0,top
R54,27K,R_0402_1005Metric,149.545,-61.03,180.0,top
R55,15K,R_0402_1005Metric,149.545,-62.03,0.0,top
R56,15K,R_0402_1005Metric,166.845,-58.73,0.0,top
R57,75K,R_0402_1005Metric,162.745,-70.33,90.0,top
R58,22K,R_0402_1005Metric,153.945,-70.33,90.0,top
R59,1K,R_0402_1005Metric,143.045,-61.03,180.0,top
R60,4.7K,R_0402_1005Metric,111.345,-67.88,-90.0,top
R61,4.7K,R_0402_1005Metric,113.345,-67.89,-90.0,top
R62,4.7K,R_0402_1005Metric,112.345,-67.88,-90.0,top
R63,4.7K,R_0402_1005Metric,103.245,-67.92,-90.0,top
R64,4.7K,R_0402_1005Metric,105.245,-67.92,-90.0,top
R65,4.7K,R_0402_1005Metric,104.245,-67.92,-90.0,top
R66,0R,R_0402_1005Metric,185.245,-48.08,0.0,top
R67,0R,R_0402_1005Metric,193.045,-48.08,180.0,top
R68,47K,R_0402_1005Metric,210.595,-42.28,90.0,top
R69,33R,R_0402_1005Metric,210.595,-44.18,-90.0,top
R70,200K,R_0402_1005Metric,180.345,-40.78,180.0,top
R71,150K,R_0402_1005Metric,196.545,-52.07,-90.0,top
R72,5m,R_1206_3216Metric,202.045,-37.8175,-90.0,top
R73,8.2K,R_0402_1005Metric,180.345,-41.78,180.0,top
R74,200K,R_0402_1005Metric,194.545,-52.08,90.0,top
R75,220K,R_0402_1005Metric,195.545,-52.07,90.0,top
R76,27K,R_0402_1005Metric,180.345,-42.78,180.0,top
R77,15K,R_0402_1005Metric,180.345,-43.78,0.0,top
R78,51K,R_0402_1005Metric,193.545,-52.08,90.0,top
R79,22K,R_0402_1005Metric,184.745,-52.08,90.0,top
R80,1K,R_0402_1005Metric,173.845,-42.78,180.0,top
R81,0R,R_0402_1005Metric,185.245,-66.33,0.0,top
R82,0R,R_0402_1005Metric,193.045,-66.33,180.0,top
R83,47K,R_0402_1005Metric,213.095,-42.28,90.0,top
R84,33R,R_0402_1005Metric,213.095,-44.18,-90.0,top
R85,200K,R_0402_1005Metric,180.345,-59.03,180.0,top
R86,150K,R_0402_1005Metric,196.545,-70.32,-90.0,top
R87,5m,R_1206_3216Metric,202.045,-56.0675,-90.0,top
R88,8.2K,R_0402_1005Metric,180.345,-60.03,180.0,top
R89,200K,R_0402_1005Metric,194.545,-70.33,90.0,top
R90,220K,R_0402_1005Metric,195.545,-70.32,90.0,top
R91,27K,R_0402_1005Metric,180.345,-61.03,180.0,top
R92,15K,R_0402_1005Metric,180.345,-62.03,0.0,top
R93,51K,R_0402_1005Metric,193.545,-70.33,90.0,top
R94,22K,R_0402_1005Metric,184.745,-70.33,90.0,top
R95,1K,R_0402_1005Metric,173.845,-61.03,180.0,top
R96,4.7K,R_0402_1005Metric,103.245,-70.68,-90.0,top
R97,4.7K,R_0402_1005Metric,105.245,-70.68,-90.0,top
R98,4.7K,R_0402_1005Metric,104.245,-70.68,-90.0,top
R99,4.7K,R_0402_1005Metric,111.345,-70.68,-90.0,top
R100,4.7K,R_0402_1005Metric,113.345,-70.68,-90.0,top
R101,4.7K,R_0402_1005Metric,112.345,-70.68,-90.0,top
R102,200K,R_0402_1005Metric,165.131564,-137.6356,-90.0,top
R105,100K,R_0402_1005Metric,185.201564,-141.2806,0.0,top
R106,200K,R_0402_1005Metric,188.181564,-126.2856,-90.0,top
R107,200K,R_0402_1005Metric,189.181564,-126.2856,-90.0,top
R108,200K,R_0402_1005Metric,185.201564,-142.2806,180.0,top
R112,510R,R_0402_1005Metric,187.181564,-126.2856,90.0,top
R114,100K,R_0402_1005Metric,192.673564,-147.9028,180.0,top
R115,200K,R_0402_1005Metric,192.675564,-146.8868,180.0,top
R116,200K,R_0402_1005Metric,180.006564,-126.2856,-90.0,top
R117,200K,R_0402_1005Metric,181.006564,-126.2856,-90.0,top
R118,200K,R_0402_1005Metric,189.477164,-149.5792,180.0,top
R119,10K,R_0402_1005Metric,187.445164,-152.5276,-90.0,top
R120,10K,R_0402_1005Metric,186.429164,-152.5256,-90.0,top
R122,10K,R_0402_1005Metric,191.458364,-152.5276,-90.0,top
R123,10K,R_0402_1005Metric,192.474364,-152.5276,-90.0,top
R124,510R,R_0402_1005Metric,179.006564,-126.2856,90.0,top
R126,200K,R_0402_1005Metric,187.445164,-150.4428,-90.0,top
R127,100K,R_0402_1005Metric,175.986364,-151.1808,90.0,top
R128,200K,R_0402_1005Metric,172.006564,-126.2856,-90.0,top
R129,200K,R_0402_1005Metric,173.006564,-126.2856,-90.0,top
R130,33R,R_0402_1005Metric,163.376564,-134.64435,90.0,top
R131,200K,R_0402_1005Metric,175.986364,-153.1808,90.0,top
R132,510R,R_0402_1005Metric,171.006564,-126.2856,90.0,top
R135,200K,R_0402_1005Metric,122.449749,-138.5856,-90.0,top
R138,100K,R_0402_1005Metric,142.519749,-142.2306,0.0,top
R139,200K,R_0402_1005Metric,145.499749,-127.2356,-90.0,top
R140,200K,R_0402_1005Metric,146.499749,-127.2356,-90.0,top
R141,200K,R_0402_1005Metric,142.519749,-143.2306,180.0,top
R145,510R,R_0402_1005Metric,144.499749,-127.2356,90.0,top
R147,100K,R_0402_1005Metric,149.991749,-148.8528,180.0,top
R148,200K,R_0402_1005Metric,149.993749,-147.8368,180.0,top
R149,200K,R_0402_1005Metric,137.324749,-127.2356,-90.0,top
R150,200K,R_0402_1005Metric,138.324749,-127.2356,-90.0,top
R151,200K,R_0402_1005Metric,146.795349,-150.5292,180.0,top
R152,10K,R_0402_1005Metric,144.763349,-153.4776,-90.0,top
R153,10K,R_0402_1005Metric,143.747349,-153.4756,-90.0,top
